text,label
Best at the chase down block ever,Hot Take
The JRich 360 block is so funny (and incredible). I forgot all about that one.,Reaction
One of the best athletes in any sport,Hot Take
"So let me get this straight a 6,9 forward with elite speed and power combined with a computer-made brain for bball wasnt created in a lab? Watching this man play at 42 is a blessing.",Reaction
the most athletic player ever,Hot Take
He's still so athletic it makes people forget how much less athletic he is than his prime,Analysis
His otherworldly longevity has made many casuals forget what his play style looked like at this point in his career.,Analysis
The documentary will be 100 hours long and still not be enough,Reaction
"He's so good that despite being the all-time leading scorer in NBA history, his signature move has to be the chase down block.",Analysis
imagine being there for this in real time,Reaction
"legit would float yet still body people regularly, i wish i was into basketball heavy during this time smh",Reaction
Jay Rich was mad as hell on that blocked dunk.,Reaction
People say that Miami Lebron was the most athletic version of him but don't remember his first stint with Cleveland. He was genuinely the strongest guy out there while moving lightning quick. I've never seen anything like that since.,Analysis
Young Bron still the alien among aliens for me.,Hot Take
Young Shaq was the closest freak athlete to LeBron I've ever seen live. LeBron is on a different level.,Hot Take
That is actually terrifying,Reaction
Are zoomers going to be saying LeBron played with plumbers because they can't name anyone on these highlights,Hot Take
It was him and pretty much corpses on those Cleveland teams and he still willed them into the playoffs,Analysis
He doesn't even make a move sometimes. He just goes right and that's it.,Analysis
Never seen a talent like him before or after.,Hot Take
Still have his rookie bobblehead from my first NBA game,Reaction
Some of these clips don't even make sense. Absolutely mind blowing,Reaction
Most of these plays would be your average player's career highlight. It's not comprehensible how good LeBron was.,Hot Take
"Imagine this guy also being the smartest guy on the court 9/10 times. All time draft, LeBron is still one. Over Kareem, Jordan, Shaq, whoever.",Hot Take
Always crazy to think that his career tape includes highlights against both fathers and their sons,Analysis
Jason Richardson going for the 360 on the breakaway always cracks me up,Reaction
And people still think he wouldn't survive the 80s,Hot Take
The best to ever do it,Hot Take
The most athletic human I've ever seen and it's not close.,Hot Take
"Underdog? Lol, Durant is delusional",Reaction
Craziest shit I've ever heard - yeah good on you for joining the scrappy underdog 73 win team,Reaction
Bro genuinely lives in his own reality,Reaction
Lmfao Kevin,Reaction
Whatever he has to keep telling himself,Hot Take
"KD, they had won 73 games and were inches away from going back to back with the same core you joined. Just admit you went there because you didn't think you could win in OKC and move on.",Analysis
Man shut up KD. You know exactly what you did,Reaction
Legacy points deducted,Hot Take
Bro they won without you both BEFORE you joined and AFTER you left. Meanwhile the snake hasn't won shit outside of GSW. Pathetic.,Analysis
"Yeah 50s were very relevant for the time when he came there, lmao",Reaction
All NBA player and also Olympic medalist in mental gymnastics,Reaction
The plucky 73-9 underdog team,Reaction
All time Bus Rider talking,Hot Take
